"","level","area","inc","country","age","prev","sexRatio15_49","sexRatio15_64","malePrev","maleART","sexualDebut20_49","sexualDebut25_49"
"5273",2,"Gokwe South",2.43782513676329,"ZWE","Y015_019",2.63866619556618,0.985586424433941,0.975058679573654,10.1291986896226,97.4677106104545,18.5,18.6
"5274",2,"Gweru",3.30712851565653,"ZWE","Y015_019",3.26512467214935,0.985692730455669,0.976461756788461,12.2654929518512,98.3900273478315,18.5,18.6
"5275",2,"Kwekwe",3.34538187321663,"ZWE","Y015_019",3.01316476670838,0.985428755059641,0.975873107601251,13.0827296149611,96.4479972184321,18.5,18.6
"5276",2,"Mberengwa",3.87936201736083,"ZWE","Y015_019",3.99780814018231,0.985880533339444,0.97329804928029,16.1811065001773,96.4074091722692,18.5,18.6
"5277",2,"Shurugwi",4.20691787004763,"ZWE","Y015_019",4.38210831431083,0.985429388969367,0.97466438095771,13.3138220909073,94.8023215910419,18.5,18.6
"5278",2,"Zvishavane",3.75480136148904,"ZWE","Y015_019",3.93165935570353,0.984341585504599,0.974913980839057,15.4340552203079,97.4643349026797,18.5,18.6
"5279",2,"Bulawayo",3.03460527097799,"ZWE","Y020_024",5.52138902135113,0.979981656048612,0.959511491451692,12.6357882758763,89.2428343469346,19.8,19.9
"5280",2,"Chitungwiza",3.35040095355779,"ZWE","Y020_024",5.61814686878079,1.00260588290644,1.00190908257235,11.5254734096074,64.3003483850655,NA,20
"5281",2,"Harare",2.59897817784263,"ZWE","Y020_024",4.20240135151995,1.006436311867,1.00656278176895,8.74415667260827,74.4819753963454,NA,20
"5282",2,"Buhera",3.13520087286637,"ZWE","Y020_024",7.5835720618924,0.963252690664347,0.948807343126336,13.0266173937005,94.8001636937039,18.5,18.5
"5283",2,"Chimanimani",2.66830808967101,"ZWE","Y020_024",5.0921019537495,0.961035812764112,0.950641690966455,10.8129498809731,96.2246067303999,18.5,18.5
"5284",2,"Chipinge",2.11944954095976,"ZWE","Y020_024",4.34642457052575,0.960888807202264,0.949114065452383,8.79474628304984,94.2078838338153,18.5,18.5
"5285",2,"Makoni",3.01733015067645,"ZWE","Y020_024",6.40875960924113,0.962711169179906,0.951610997378174,13.6431559242866,96.7585564080537,18.5,18.5
"5286",2,"Mutare",2.20130823128549,"ZWE","Y020_024",3.99522581483307,0.960375189789094,0.951246123213422,8.72728053764284,96.3934586970916,18.5,18.5
"5287",2,"Mutasa",2.19292166411917,"ZWE","Y020_024",4.42364496284782,0.96232419974954,0.950150627839505,8.96691954099594,96.0355139182648,18.5,18.5
"5288",2,"Nyanga",2.46418734856966,"ZWE","Y020_024",4.5294568842719,0.961569894437569,0.950666165637317,10.0835329100664,94.9931327718013,18.5,18.5
"5289",2,"Bindura",2.52754559621307,"ZWE","Y020_024",5.92855249948546,0.973700123509106,0.965526445723994,14.3393229142332,96.3239806519157,17.9,17.9
"5290",2,"Centenary",1.16233881065252,"ZWE","Y020_024",3.3672669417809,0.974978553816115,0.965217654600387,7.00965020977163,97.970136762471,17.9,17.9
"5291",2,"Guruve",2.69452417139548,"ZWE","Y020_024",5.08048049073639,0.975490228449583,0.964437821970908,12.7490830936121,82.9746722197191,17.9,17.9
"5292",2,"Mazowe",1.90515622203839,"ZWE","Y020_024",5.47648871321384,0.973669732165752,0.965237359723354,12.1283868856947,97.5156367438834,17.9,17.9
"5293",2,"Mbire",0.97261362450718,"ZWE","Y020_024",3.0259516937732,0.975446781275555,0.96395729349411,5.84954145302448,98.347251120451,17.9,17.9
"5294",2,"Mt. Darwin",1.48576935735452,"ZWE","Y020_024",4.43978963415855,0.975392037307899,0.965063885289962,8.26123958190139,96.8297858069222,17.9,17.9
"5295",2,"Rushinga",1.39595749113498,"ZWE","Y020_024",4.71574336174323,0.974995229117463,0.964093865321629,8.08301612352477,97.8792642315585,17.9,17.9
"5296",2,"Shamva",1.64227098956068,"ZWE","Y020_024",4.59664004572568,0.974804318457633,0.966037555125696,10.3042395956618,97.0536907421455,17.9,17.9
"5297",2,"Chikomba",1.61491033136159,"ZWE","Y020_024",5.45889831220287,0.972201117522904,0.954589177657463,11.8140535228282,99.9907581886735,18.6,18.6
"5298",2,"Goromonzi",1.44824997304949,"ZWE","Y020_024",4.22774048519265,0.968203502886156,0.958088828766227,10.1571520072022,99.9907232590778,18.6,18.6
"5299",2,"Hwedza",1.80097579434427,"ZWE","Y020_024",6.19165715800578,0.971945879636317,0.955511189820105,15.0053280941955,99.9946447092649,18.6,18.6
"5300",2,"Marondera",1.42130737305681,"ZWE","Y020_024",4.18351469701948,0.969439491017774,0.957569198243669,9.9595572429634,99.9891685294161,18.6,18.6
"5301",2,"Mudzi",1.74725753580705,"ZWE","Y020_024",6.25037060089704,0.972147044896778,0.956273236367324,11.7637907918447,99.9920165142129,18.6,18.6
"5302",2,"Murehwa",1.42910100571819,"ZWE","Y020_024",5.36375959969895,0.971780249066381,0.957211778712352,9.42055383631158,99.9957104141856,18.6,18.6
"5303",2,"Mutoko",1.54806680838598,"ZWE","Y020_024",6.08859802502608,0.971291493742038,0.956054776947992,10.0281339902833,99.9974621778076,18.6,18.6
"5304",2,"Seke",2.89313831755164,"ZWE","Y020_024",4.79560775623709,0.967259503927612,0.959026602506105,12.7905810790678,99.9010105942986,18.6,18.6
"5305",2,"Ump",1.4666443658674,"ZWE","Y020_024",4.83922111782431,0.97106144333055,0.955334740820743,10.0285457990406,99.9881733677766,18.6,18.6
"5306",2,"Chegutu",2.0342104513458,"ZWE","Y020_024",6.05125958812713,0.975355532760946,0.961195598723973,13.8286214414096,99.9993981953863,18.1,18.1
"5307",2,"Hurungwe",1.69959608231549,"ZWE","Y020_024",4.90810170950386,0.975507520548237,0.959924817115624,10.9125247468503,99.9996513407487,18.1,18.1
"5308",2,"Kariba",1.53209689063087,"ZWE","Y020_024",4.11104611120837,0.973949442404352,0.961749064193024,8.79907079613972,99.9998521134297,18.1,18.1
"5309",2,"Makonde",1.69969015938458,"ZWE","Y020_024",5.47069291213439,0.975249667967424,0.960735052420736,9.91876109287003,99.9998443665595,18.1,18.1
"5310",2,"Mhondoro",2.07025943247441,"ZWE","Y020_024",5.37565731749199,0.975024780292061,0.961794528758936,13.6843382967972,99.9996874269379,18.1,18.1
"5311",2,"Sanyati",2.26426272652396,"ZWE","Y020_024",4.37884605410466,0.974406887526958,0.961240559798694,8.64283708738618,99.9984489213507,18.1,18.1
"5312",2,"Zvimba",1.72102272282773,"ZWE","Y020_024",4.96405403290392,0.975001913914179,0.95978715429354,10.7370240152048,99.9997235203659,18.1,18.1
"5313",2,"Bikita",3.13077313582099,"ZWE","Y020_024",6.29112991609674,0.963759092821221,0.950414126903022,11.4585000920335,97.5910780796984,18.9,18.9
"5314",2,"Chiredzi",2.51601218263778,"ZWE","Y020_024",4.24816449294252,0.957239564266989,0.946656954124893,11.6798204642747,98.7888628516022,18.9,18.9
