"","area","age","mean","lower_ART","upper_ART","inc","lower_inc","upper_inc","level","prev","lower_prev","upper_prev","country","sex"
"2998","Inhambane","Y025_029",0.838782704329136,0.701921157813344,0.92795516767131,0.0064270968821896,0.00452806325232843,0.00915427585121306,3,0.146745627896017,0.119340088935352,0.175313954314502,"MOZ","female"
"2999","Inhambane","Y025_029",0.838782704329136,0.701921157813344,0.92795516767131,0.0064270968821896,0.00452806325232843,0.00915427585121306,1,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3000","Inhambane","Y025_029",0.838782704329136,0.701921157813344,0.92795516767131,0.0064270968821896,0.00452806325232843,0.00915427585121306,2,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3001","Inhambane","Y025_029",0.838782704329136,0.701921157813344,0.92795516767131,0.0081083333729391,0.00712784260416943,0.00931379377326804,3,0.146745627896017,0.119340088935352,0.175313954314502,"MOZ","female"
"3002","Inhambane","Y025_029",0.838782704329136,0.701921157813344,0.92795516767131,0.0081083333729391,0.00712784260416943,0.00931379377326804,1,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3003","Inhambane","Y025_029",0.838782704329136,0.701921157813344,0.92795516767131,0.0081083333729391,0.00712784260416943,0.00931379377326804,2,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3004","Inhambane","Y025_029",0.838782704329136,0.701921157813344,0.92795516767131,0.0081083333729391,0.00712784260416943,0.00931379377326804,3,0.146745627896017,0.119340088935352,0.175313954314502,"MOZ","female"
"3005","Inhambane","Y025_029",0.838782704329136,0.701921157813344,0.92795516767131,0.0081083333729391,0.00712784260416943,0.00931379377326804,1,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3006","Inhambane","Y025_029",0.838782704329136,0.701921157813344,0.92795516767131,0.0081083333729391,0.00712784260416943,0.00931379377326804,2,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3007","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0064270968821896,0.00452806325232843,0.00915427585121306,3,0.146745627896017,0.119340088935352,0.175313954314502,"MOZ","female"
"3008","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0064270968821896,0.00452806325232843,0.00915427585121306,1,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3009","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0064270968821896,0.00452806325232843,0.00915427585121306,2,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3010","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,3,0.146745627896017,0.119340088935352,0.175313954314502,"MOZ","female"
"3011","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,1,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3012","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,2,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3013","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,3,0.146745627896017,0.119340088935352,0.175313954314502,"MOZ","female"
"3014","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,1,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3015","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,2,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3016","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0064270968821896,0.00452806325232843,0.00915427585121306,3,0.146745627896017,0.119340088935352,0.175313954314502,"MOZ","female"
"3017","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0064270968821896,0.00452806325232843,0.00915427585121306,1,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3018","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0064270968821896,0.00452806325232843,0.00915427585121306,2,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3019","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,3,0.146745627896017,0.119340088935352,0.175313954314502,"MOZ","female"
"3020","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,1,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3021","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,2,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3022","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,3,0.146745627896017,0.119340088935352,0.175313954314502,"MOZ","female"
"3023","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,1,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3024","Inhambane","Y025_029",0.758133219463435,0.696662752956145,0.809832527482637,0.0081083333729391,0.00712784260416943,0.00931379377326804,2,0.158866034385838,0.141801693900961,0.175732339264926,"MOZ","female"
"3025","Inharrime","Y010_014",0.518716529875598,0.304872880537294,0.719844638348107,0,0,0,3,0.0156348013107205,0.010213261352287,0.0225505884722231,"MOZ","female"
"3026","Inharrime","Y015_019",0.561381799535366,0.355796769372426,0.735864675313277,0.00892585374711056,0.00562571685583871,0.0137479205812346,3,0.0377806988192823,0.0256344745277383,0.0540779407941844,"MOZ","female"
"3027","Inharrime","Y020_024",0.597285301000492,0.407784009373641,0.758580707635114,0.00892780514515891,0.00562689662637066,0.0137511052408852,3,0.0942955340115788,0.0663724799657023,0.131565449558588,"MOZ","female"
"3028","Inharrime","Y025_029",0.671570354796358,0.49333568495282,0.811448447826588,0.00815640749759887,0.00514090172174967,0.012562272701094,3,0.141928027405309,0.102462790795981,0.19063263108549,"MOZ","female"
"3029","Inhassoro","Y010_014",0.627623077650293,0.407204563378009,0.805918898553509,0,0,0,3,0.0167653633791889,0.0115773353543733,0.0229436738348811,"MOZ","female"
"3030","Inhassoro","Y015_019",0.816064759962107,0.668283906862091,0.913397093457961,0.0113928212671011,0.00825080030173643,0.0154972127925659,3,0.0576418423553354,0.041171906845241,0.0781142541946069,"MOZ","female"
"3031","Inhassoro","Y020_024",0.838190369759992,0.719405704163531,0.919996144607389,0.0114009486361592,0.00825662901259697,0.0155084085197704,3,0.152585827838809,0.111338791442683,0.197947672100845,"MOZ","female"
"3032","Inhassoro","Y025_029",0.877381337660955,0.779710127088117,0.943275222862411,0.0104192460674133,0.00754594775264166,0.0141723545279549,3,0.230440439884343,0.173859404958342,0.291931305640517,"MOZ","female"
"3033","Inhassunge","Y010_014",0.724812368100096,0.519493632066703,0.875336932337404,0,0,0,3,0.0267570564479223,0.0207052798140656,0.0338900614531726,"MOZ","female"
"3034","Inhassunge","Y015_019",0.847774046138662,0.735409713296817,0.927197113472652,0.0132414337585582,0.00994660335446065,0.0175450244512964,3,0.070450409619356,0.0514226835168778,0.0917715936442472,"MOZ","female"
"3035","Inhassunge","Y020_024",0.86623101509515,0.765944062584861,0.932090487688562,0.013250563396798,0.00995338803235236,0.0175572900928066,3,0.172516836703644,0.131780260125752,0.218791482593034,"MOZ","female"
"3036","Inhassunge","Y025_029",0.899729115319898,0.820345199922697,0.949699169335318,0.0121073608442325,0.00909499249774855,0.0160417365132325,3,0.260815676460622,0.208478267180181,0.318142478699157,"MOZ","female"
"3037","Insiza","Y010_014",0.958540811532862,0.882016583793601,0.988952211016833,0,0,0,2,0.0258383737150155,0.0211569886914218,0.0313911432209919,"ZWE","female"
"3038","Insiza","Y015_019",0.999995231370791,0.999985406396968,0.999998769691607,0.00514175716729412,0.00422339173623598,0.00648782492178342,2,0.0505099541223067,0.0416890227158601,0.0608055230974929,"ZWE","female"
"3039","Insiza","Y020_024",0.999993695969939,0.999979963191267,0.999998307012538,0.00639166099412122,0.00524992100205054,0.00806523590735604,2,0.0956111728914356,0.0771252043465725,0.117176218526887,"ZWE","female"
"3040","Insiza","Y025_029",0.999994292598738,0.999983394665341,0.999998521940879,0.00552383430543349,0.0045371870777542,0.00697001501502943,2,0.153605509273376,0.125349739923167,0.185396106991483,"ZWE","female"
